"year_of_first_job","industry","school_graduated","sex","monthly_salary_unadjusted","cumulative_inflation","monthly_salary_adjusted","offer_negotiated","other_details"
2009,"Media and Communication","Other universities","Male",7500,1.477,11077.5,"Yes","We were allowed 2 productions/shows maximum that time. It was November 2009. Badly, the unit I was with does not allow multiple shows and there are no other units aside from it. Lol"
2019,"Manufacturing","UP System University","Male",19000,1.08,20520,"Yes",""
2019,"Healthcare","Saint Louis University","Female",8500,1.08,9180,"No","I hope medical allied professionals could get a fair salary pay check "
2016,"Finance","Other universities","Female",12000,1.183,14196,"No",""
2018,"Academe & Education","Polytechnic University of the Philippines - Manila","Male",16000,1.136,18176,"Yes",""
2006,"Business Process Outsourcing","University of the Philippines - Los Baños","Male",16000,1.736,27776,"Yes",""
2005,"Marketing","UP System University","Male",6400,1.849,11833.6,"No","Company policy to start with minimum wage"
2019,"Retail","FEU System University","Male",15000,1.08,16200,"Yes","I work in a fashion retail company. "
2014,"Finance","University of the Philippines - Diliman","Female",24000,1.234,29616,"No",""
2018,"Human Relations","Ateneo de Manila University","Female",18000,1.136,20448,"No",""
2016,"Accounting","University of San Carlos","Female",18500,1.183,21885.5,"No",""
2014,"Non-Government Organization","De La Salle University - Manila","Female",25000,1.234,30850,"Yes","Original offer was 20k"
2019,"Hospitality","Ateneo de Manila University","Female",25000,1.08,27000,"Yes","Typically for psych graduates, getting more than 20k is actually really lucky already unless you go for management trainee programs. I was fine with my first salary but within the same year due to promotions and the company I’m working for being a startup, I am already earning 40k with bonuses per quarter."
2018,"Government","University of the Philippines - Diliman","Not specified/Unclear",24000,1.136,27264,"No",""
2019,"Media and Communication","N/A (Unspecified)","Male",21000,1.08,22680,"No",""
2014,"Technology","Other universities","Male",19000,1.234,23446,"No",""
2019,"Media and Communication","Ateneo de Manila University","Male",27000,1.08,29160,"No",""
2015,"Government","Ateneo de Manila University","Male",21000,1.191,25011,"No","Government positions have fixed salaries, so no negotiations at all."
2013,"Business Process Outsourcing","Other universities","Male",15000,1.265,18975,"No","customer support as a part time job while studying"
2018,"Retail","Other universities","Female",15100,1.136,17153.6,"No","Thankfully our company was abiding in the wage order of NCR, I heard some of the companies doesn't comply with what Dole has mandated and even offer below minimum wage than the usual. "
2016,"Finance","University of San Carlos","Male",12221,1.183,14457.443,"No",""
1987,"Retail","UP System University","Male",3000,7.128,21384,"No",""
2018,"Finance","De La Salle University - Manila","Female",36000,1.136,40896,"Yes",""
2019,"Media and Communication","University of Santos Tomas","Female",14000,1.08,15120,"No","My salary was fixed. No benefits too."
18000,"Business Process Outsourcing","Polytechnic University of the Philippines - Manila","Male",18000,NA,NA,"No",""
2010,"Real Estate","FEU System University","Male",13000,1.417,18421,"No",""
2018,"Accounting","Polytechnic University of the Philippines - Manila","Male",16000,1.136,18176,"No",""
2013,"Government","Ateneo de Manila University","Female",15000,1.265,18975,"No",""
2019,"Finance","Other universities","Male",19400,1.08,20952,"No",""
2020,"Law","De La Salle University - Manila","Male",40000,1.053,42120,"No",""
2019,"Other industries","N/A (Unspecified)","Not specified/Unclear",8000,1.08,8640,"Unspecified",""
2019,"Manufacturing","University of Santos Tomas","Female",20850,1.08,22518,"No",""
2014,"Finance","Polytechnic University of the Philippines - Manila","Male",13000,1.234,16042,"No",""
2019,"Technology","Other universities","Male",21000,1.08,22680,"No",""
2019,"Manufacturing","Other universities","Male",15200,1.08,16416,"Yes",""
2012,"Finance","University of the Philippines - Diliman","Female",30000,1.3014,39042,"No","The bank had many types of MT programs, this was the “superior” one for honors graduates. Straight to officer position."
2016,"Construction and Engineering","N/A (Unspecified)","Not specified/Unclear",13000,1.183,15379,"Unspecified",""
2017,"Accounting","De La Salle University - Manila","Female",16000,1.168,18688,"Yes","The auditing firm reached out to me for an interview one day after the Board Exam. I thought it was already a sure job offer, but later on I confirmed that I should pass first the CPALE."
2015,"Academe & Education","UP System University","Male",20000,1.191,23820,"No",""
2019,"Food","Other universities","Female",14007,1.08,15127.56,"No",""
2014,"Sales","Other universities","Not specified/Unclear",8000,1.234,9872,"No","Undergrad from UPLB. Part-time. Home-based."
2008,"Media and Communication","University of the Philippines - Diliman","Female",9100,1.599,14550.9,"No","Company called us ""talents"" with flexible schedules so we were free to take other projects/jobs. I also worked as a math tutor during this period."
2011,"Technology","Other universities","Female",27000,1.365,36855,"No",""
2016,"Construction and Engineering","Other universities","Male",15000,1.183,17745,"No",""
2019,"Healthcare","UP System University","Female",25000,1.08,27000,"No","Payment depends on the number or clients (usually counted per hour) and the rate per clinic (ranges from 350-500 per hour). No patient = no pay kung baga.
Considered as ""self-employed"". Walang health and insurance benefits na offer halos lahat ng clinics so you need to look and pay for your own SSS, Philhealth, etc. "
2015,"Research","Other universities","Female",32000,1.191,38112,"No","Work was project-based. No employee-employer relationship, hence, no gov't benefits included. Work also involved ""hazards"" as we were sent to fieldwork with no ""hazard pay"""
2005,"Business Process Outsourcing","Other universities","Female",13000,1.849,24037,"No",""
2017,"Manufacturing","Ateneo de Manila University","Female",48000,1.168,56064,"No",""
2019,"Construction and Engineering","Mapua University - Intramuros","Female",20155,1.08,21767.4,"No",""
2011,"Utilities","University of the Philippines - Diliman","Female",21000,1.365,28665,"No",""
2018,"Finance","Ateneo de Manila University","Female",32000,1.136,36352,"No"," "
2008,"Business Process Outsourcing","Other universities","Female",8500,1.599,13591.5,"No",NA
2019,"Architecture","University of Santos Tomas","Female",13000,1.08,14040,"No","Contractual and we had 5% withheld tax "
2019,"Finance","University of the Philippines - Los Baños","Not specified/Unclear",25000,1.08,27000,"No","Was not given a chance to negotiate"
2003,"Academe & Education","Ateneo System University","Female",5700,1.982,11297.4,"No","I graduated March 2003 then I was teaching by June 2003. I am in probationary status, no teaching experience, no LET yet. Every year my salary increased to 21k on my 11th year of teaching ( I had masters degree by this time so my salary is bigger than my other teacher-batchmates). Unfortunately, had to go abroad to work as a Physics teacher with 51k salary per month. Already my 6th year here in my workplace but I plan to go back to Philippines to settle down for good."
2019,"Academe & Education","University of Santos Tomas","Female",16000,1.08,17280,"No",""
2015,"Food","De La Salle University - Manila","Female",8000,1.191,9528,"No","I was paid 60/hr since I was a part-timer. I was still studying back then."
2016,"Technology","De La Salle University - Manila","Female",18000,1.183,21294,"No",""
2019,"Healthcare","University of the Philippines - Diliman","Male",74000,1.08,79920,"No","Foreign company"
2016,"Business Process Outsourcing","Other universities","Female",17000,1.183,20111,"No",""
2011,"Academe & Education","Other universities","Female",11500,1.365,15697.5,"No","The salary was fixed. You get additional 1,000 pesos after you passed the LET.  Then you can earn additional 1,000 (more or less) if you decide to teach 3 classes for their Sunday High School. "
2017,"Business Process Outsourcing","N/A (Unspecified)","Female",16000,1.168,18688,"No","Back then, I was just getting 11,500 plus 1,500 de minimis and 3,000 allowance. Some said that the amount competitive for fresh grads then"
2020,"Technology","Other universities","Female",29500,1.053,31063.5,"No",""
2018,"Business Process Outsourcing","Polytechnic University of the Philippines - Manila","Male",14500,1.136,16472,"No","That is the net monthly salary, but had a-2K increase last September 2019. Supposed to get promoted the same year (2018), but the management in other sites did not want it as they want to assess my skills furthermore because I am a fresh graduate. "
2016,"Technology","Other universities","Female",20000,1.183,23660,"No",""
2014,"Technology","University of the Philippines - Diliman","Female",22000,1.234,27148,"No",""
2019,"Non-Government Organization","Other universities","Female",35000,1.08,37800,"No",""
2019,"Marketing","University of Santos Tomas","Male",30000,1.08,32400,"Yes","It was initially 25k but I haggled."
2019,"Technology","Other universities","Male",44000,1.08,47520,"No","the 4,000 Monthly Grab allowance not included in the 44k. Also, the annual bonus is at least times 3 your monthly salary. It may still increase depends on your performance. Pretty good for a starting pay"
2003,"Media and Communication","Other universities","Female",8000,1.982,15856,"No",""
2013,"Business Process Outsourcing","Other universities","Female",18000,1.265,22770,"No",""
2017,"Advertising","Other universities","Female",15000,1.168,17520,"No",""
2018,"Finance","Polytechnic University of the Philippines - Manila","Male",23000,1.136,26128,"No","Up to 14th months of pay. I didn't include benefits given in cash (e.g. medical allowance). This is a non-management trainee position so it is less than my peers' salary."
2012,"Technology","De La Salle University - Manila","Male",24000,1.3014,31233.6,"No",""
2008,"Manufacturing","UP System University","Female",13500,1.599,21586.5,"No","We got OT pay and most of the time OT naman so got around 16-18k per month take home."
2017,"Business Process Outsourcing","Other universities","Female",20000,1.168,23360,"No",""
2015,"Human Relations","Ateneo de Manila University","Male",18000,1.191,21438,"No",""
2017,"Manufacturing","University of the Philippines - Diliman","Male",16500,1.168,19272,"No","48 hour workweek (6 days, full day Saturday)"
2016,"Technology","N/A (Unspecified)","Male",18000,1.183,21294,"No",""
2016,"Business Process Outsourcing","N/A (Unspecified)","Male",18000,1.183,21294,"No",""
2019,"Technology","University of the Philippines - Diliman","Not specified/Unclear",25000,1.08,27000,"No","6 month probationary period: 25k/mo
+5k/mo upon regularization"
2019,"Consulting","Ateneo de Manila University","Male",50000,1.08,54000,"No","Gross amount exclusive of bonuses/deductions"
2018,"Business Process Outsourcing","De La Salle University - Manila","Female",20000,1.136,22720,"Yes",""
2016,"Media and Communication","Other universities","Not specified/Unclear",16000,1.183,18928,"No",""
2017,"Government","Pamantasan ng Lungsod ng Manila","Male",30000,1.168,35040,"No",""
2014,"Accounting","Other universities","Male",13000,1.234,16042,"No",""
2016,"Marketing","Other universities","Female",13000,1.183,15379,"Yes",""
2019,"Other industries","UP System University","Female",17000,1.08,18360,"No","After 3 months they increased my salary to 20000, and offered me the Social Media Specialist position which I accepted."
2016,"Research","Ateneo de Manila University","Female",25000,1.183,29575,"No","I got an offer immediately after inquiring about it because I previously had my internship in the same research lab of ADMU."
2019,"Government","University of the Philippines - Diliman","Female",20500,1.08,22140,"Yes","My salary on contract is 20,500, but my boss offered to give me extra P10,000 for doing higher quality work than most employees in the office."
2018,"Finance","Ateneo de Manila University","Female",187500,1.136,213000,"Yes","Had to list down the technical skills I had acquired throughout school and internship opportunities"
2019,"Other industries","University of Santos Tomas","Female",18000,1.08,19440,"No",""
2020,"Law","UP System University","Female",19000,1.053,20007,"No",""
2017,"Technology","Ateneo de Manila University","Female",25000,1.168,29200,"No","It was also the company who contacted me via text. "
2017,"Finance","Polytechnic University of the Philippines - Manila","Male",26000,1.168,30368,"No","Monthly salary stated include allowances and monthly average night differential"
2020,"Accounting","Other universities","Female",21000,1.053,22113,"No",""
2016,"Finance","University of the Philippines - Diliman","Male",21000,1.183,24843,"No",""
2014,"Marketing","University of the Philippines - Diliman","Female",20000,1.234,24680,"No",""
2019,"Architecture","Other universities","Not specified/Unclear",12000,1.08,12960,"No",""
2014,"Real Estate","University of the Philippines - Diliman","Female",16000,1.234,19744,"No",""
2016,"Manufacturing","University of the Philippines - Diliman","Female",21000,1.183,24843,"No",""
2019,"Finance","Ateneo de Manila University","Female",22300,1.08,24084,"No",""
2019,"Marketing","University of the Philippines - Los Baños","Female",18000,1.08,19440,"No",""
2017,"Academe & Education","Other universities","Female",15000,1.168,17520,"No","Project-based"
2019,"Consulting","University of the Philippines - Diliman","Male",17759,1.08,19179.72,"Yes",""
2015,"Government","Ateneo de Manila University","Female",19200,1.191,22867.2,"No","Salary is fixed for project-based staff in government-funded projects so you cant negotiate. "
2014,"Technology","Mapua University - Intramuros","Female",15000,1.234,18510,"Yes","Was initially offered 12k but I negotiated. After 6 months I got a 3k increase so I ended up getting 18k"
2014,"Research","Other universities","Female",15000,1.234,18510,"No",""
2012,"Business Process Outsourcing",NA,"Female",15000,1.3014,19521,"No","Gross income. Allowance not included."
2018,"Other industries","Other universities","Male",12000,1.136,13632,"No",""
2011,"Government","University of the Philippines - Los Baños","Male",14000,1.365,19110,"No",""
2015,"Other industries","Other universities","Male",40000,1.191,47640,"No","Cadet scholarship program"
2012,"Accounting","Other universities","Female",12000,1.3014,15616.8,"No",""
2002,"Finance","Other universities","Female",12500,2.036,25450,"No","Hired as a project-based hire (no benefits), and then after six months, regular employee."
2014,"Healthcare","Other universities","Female",12000,1.234,14808,"No",""
2018,"Technology","Other universities","Male",10000,1.136,11360,"No",""
2019,"Manufacturing","University of the Philippines - Diliman","Not specified/Unclear",25000,1.08,27000,"No",""
2020,"Telecomumunications","University of the Philippines - Diliman","Female",27000,1.053,28431,"No","I am not yet a licensed engineer"
2002,"Manufacturing","University of the Philippines - Diliman","Male",20000,2.036,40720,"No",""
2020,"Business Process Outsourcing","University of the Philippines - Diliman","Female",21415,1.053,22549.995,"No","I wanted to, but they said it's non-negotiable sooo I accepted it na lang. Cinompute ko rin kasi gastusin and all tapos parang okay naman."
2019,"Manufacturing","University of the Philippines - Diliman","Female",60000,1.08,64800,"No",""
2013,"Telecomumunications","Other universities","Male",12000,1.265,15180,"No","After I graduated from college, My salary was around 12k to 40k because of per diem/non-taxable allowances. My shift was from 8:00AM to 10:00PM monday to saturday."
2020,"Construction and Engineering","University of the Philippines - Diliman","Female",21000,1.053,22113,"No",""
2018,"Other industries","Ateneo de Manila University","Female",36000,1.136,40896,"No",""
2018,"Advertising","Ateneo de Manila University","Female",18500,1.136,21016,"Yes","Initial offer was 16,500."
2018,"Retail","UP System University","Female",10000,1.136,11360,"No","Worked on a per hour basis doing community management, content curation (copywriting, posting), and influencer outreach for a start-up fashion brand's Instagram business page based in a different country. Pay is low for online job/virtual assistant standards, and work can be treated as part-time."
2020,"Non-Government Organization","University of the Philippines - Diliman","Male",25000,1.053,26325,"No","I worked in the org as a volunteer when I was a student, after graduating I was offered a managerial position"
2018,"Retail","Ateneo de Manila University","Female",24000,1.136,27264,"No","Yearly raise (depends on performance, can go as high as 25-30% increase) "
2014,"Media and Communication","Ateneo de Manila University","Female",20000,1.234,24680,"No",""
2015,"Business Process Outsourcing","Saint Louis University","Male",20000,1.191,23820,"No",""
2019,"Other industries","Other universities","Male",18000,1.08,19440,"No","Was absorb after my internship, wasnt able to negotiate my expected salary "
2017,"Finance","Ateneo de Manila University","Female",36000,1.168,42048,"No",""
2019,"Technology","Ateneo de Manila University","Male",23000,1.08,24840,"Yes","I settled with the amount since there will be a raise once we spin off. "
2015,"Consulting","University of the Philippines - Diliman","Not specified/Unclear",15000,1.191,17865,"No","*salary figure is gross income, net income @ 12k ; budget came from projects funded by international financial institution and private companies; doing OT is frowned upon by owner"
2015,"Transportation","Ateneo de Manila University","Female",18000,1.191,21438,"No",""
2019,"Healthcare","Ateneo de Manila University","Male",35000,1.08,37800,"No","Contractual role but the company was very kind.

Work hours are good. 

9-6pm M - TH 

9 - 4:30pm F

--

Looking for another job now but no company can pay me this high... sucks.

No Bonuses

HMO and pro rated leaves included."
2014,"Finance","Polytechnic University of the Philippines - Manila","Male",13000,1.234,16042,"No","As a fresh grad, didnt negotiate. Thought that is a good pay "
2017,"Finance","Ateneo de Manila University","Female",20000,1.168,23360,"No","Other benefits: With up to 15th month pay. 300k gross annual. With HMO, VL/SL 15 days each. Group life insurance."
2013,"Hospitality","Other universities","Female",10000,1.265,12650,"No","Gross monthly income"
2018,"Technology","University of Santos Tomas","Male",25000,1.136,28400,"No",""
2018,"Technology","University of the Philippines - Los Baños","Female",30000,1.136,34080,"No",""
2019,"Healthcare","Ateneo de Manila University","Female",18500,1.08,19980,"No","""Low pay"" but the perks and benefits packages are very comprehensive and competitive"
2014,"Healthcare","University of Santos Tomas","Male",20000,1.234,24680,"No",""
2019,"Technology","Ateneo de Manila University","Female",22000,1.08,23760,"No","Company promised me 25k upon regularization and did not push through with their verbal promise. Watch out for companies that don't document their promises. "
2019,"Academe & Education","FEU System University","Male",23000,1.08,24840,"No",""
2014,"Other industries","Other universities","Female",24000,1.234,29616,"No",""
2017,"Healthcare","Other universities","Female",14000,1.168,16352,"No",""
2020,"Government","University of the Philippines - Los Baños","Female",24000,1.053,25272,"No","Around 8k lower because I haven’t taken CSE"
2018,"Technology","University of the Philippines - Los Baños","Male",38000,1.136,43168,"No",""
2019,"Finance","University of the Philippines - Los Baños","Male",15000,1.08,16200,"No",""
2019,"Finance","University of the Philippines - Los Baños","Male",15000,1.08,16200,"No",""
2017,"Manufacturing","Ateneo de Manila University","Female",48000,1.168,56064,"No",""
2016,"Academe & Education","University of the Philippines - Los Baños","Female",15000,1.183,17745,"No","The school was my alma matter. Sila yung mismong nag-contact sakin to teach even before my graduation. Nakita lang nila na pa-graduate na ko sa isang facebook post wearing my sablay. I had one more job offer from a well-known university. Halos doble ng offer sakin sa highschool ko pero dahil na din sa mga sinasabi ng parents ko (na kesyo malapit lang naman daw tsaka first job pa lang naman, alam ko na daw mga palakad at di ako maninibago), at sa naramdaman ko din na paramg may utang na loob ako or yun nga to give back din, I chose them over the other one. Going back, I believe I deserve better. They just used me to their advantage and brag about a UP graduate instructor. I only lasted for one school year. When I handed my resignation letter, I feel like minasama nila instead of being proud and happy that I'm moving forward with greener pastures or better opportunities."
2015,"Manufacturing","Ateneo de Manila University","Female",57230,1.191,68160.93,"No","The company pays 15.5 months so it might make sense to ask for the annual salary. In this case, I put in monthly salary 48k multiplied by 15.5 months then divided by 13 months so it reflects the standard across all industries. "
2016,"Manufacturing","Ateneo de Manila University","Female",71538,1.183,84629.454,"No","We get guaranteed bonus of 16 months "
2017,"Finance","Ateneo System University","Female",25000,1.168,29200,"No","I took the first job offer from the first job interview in my life...which may have been a mistake"
2019,"Finance","University of the Philippines - Diliman","Female",32000,1.08,34560,"Yes","OT pay is around 5-10k per month"
2017,"Marketing","Ateneo System University","Not specified/Unclear",25000,1.168,29200,"No","*Edited answer from last post that stated female. I don't believe in gender. Also, I think I could have negotiated to 30k, and maybe look into other companies. I just got excited to take a first interview and first job offer."
2019,"Business Process Outsourcing","N/A (Unspecified)","Female",18500,1.08,19980,"No","The job is not in line with the degree I got. I'm an accountancy major. They said its for a financial account and the salary being offered is really tempting. I accepted."
2012,"Other industries","University of the Philippines - Diliman","Female",15000,1.3014,19521,"Yes","15k was my preferred rate so during the interview I was offered a higher position instead of the initial position I was applying for"
2016,"Human Relations","University of Santos Tomas","Female",20000,1.183,23660,"Yes","Nightshift "
2019,"Media and Communication","UP System University","Male",18000,1.08,19440,"No","Project-based position"
2020,"Non-Profit Organization","Other universities","Female",10000,1.053,10530,"No",""
2020,"Non-Profit Organization","Other universities","Female",10000,1.053,10530,"No",""
2020,"Manufacturing","De La Salle University - Manila","Male",60000,1.053,63180,"No",""
2019,"Research","University of the Philippines - Diliman","Male",26000,1.08,28080,"No","I'm part of the company's training program. We also have COLA. As a proby, we got 1/2 of the standard 13th month pay"
2016,"Technology","University of the Philippines - Diliman","Female",17500,1.183,20702.5,"No","Got a remote online job while in college, for a US company. It was a part-time job, 4-hour per day shifts. The pay was $350, no benefits or incentives. I did not negotiate; in fact, at the time I thought that was awesome pay for a 4-hour (flexible time!) workday. It was simple web admin-social media stuff but it lead me to bigger and bigger project management roles that I decided to just defer college in favor of working. I'm very happy with that decision."
2018,"Healthcare","N/A (Unspecified)","Not specified/Unclear",20000,1.136,22720,"No",""
2019,"Other industries","Other universities","Male",18711,1.08,20207.88,"No","Leyte-based job; The offer was fixed for starters, not sure if the starting rate is different for those with experience. Aside from it, we also have meal allowance worth 1100/month and Cost-of-Living-Allowances (COLA) which includes free housing, electricity, and water. Now, I'm a regular earning around 21k plus benefits amounting to 3300/month, giving me a tax shield. COLA are still applicable. "
2018,"Construction and Engineering","Other universities","Female",20000,1.136,22720,"No",""
2020,"Consulting","Saint Louis University","Female",22000,1.053,23166,"No",""
2019,"Telecomumunications","Ateneo de Manila University","Male",45000,1.08,48600,"No",""
2017,"Other industries","University of the Philippines - Los Baños","Male",25000,1.168,29200,"Yes","Should have asked for more. Some of my batchmates got higher pay some got lower. Range was 18k-30k"
2020,"Construction and Engineering","Other universities","Male",12000,1.053,12636,"No",""
2018,"Manufacturing","University of the Philippines - Los Baños","Female",23100,1.136,26241.6,"No","+ quarterly bonus depending on overall company quarterly performance index
+ free shuttle service; free meal
+ employee cooperative (optional)
+ HMO card (fully shouldered) + 2 dependents (partially shouldered) 
+ reimbursement on Master's tuition fees (Engineering/Business) on Big 4 schools & Mapua; related to job role (but must sign contract to stay at least 2 years in the company) "
2019,"Business Process Outsourcing","Ateneo de Manila University","Male",21000,1.08,22680,"No",""
2019,"Retail","FEU System University","Female",11500,1.08,12420,"No",""
2017,"Other industries","Other universities","Female",15500,1.168,18104,"No","Pogo industries offer above minimum and butc benefits  its a place you cant develop professionaly since few of them has questionable legal permits i guess. Theyre like operating incognito and that was challenging. Make sure to work in a licensed pogo which can be found in pagcor's website. "
2018,"Media and Communication","Other universities","Male",15000,1.136,17040,"No",""
2015,"Finance","Other universities","Male",11500,1.191,13696.5,"No",""
2009,"Accounting","Other universities","Male",20000,1.477,29540,"No",""
2017,"Finance","Other universities","Female",30000,1.168,35040,"No","Base salary is P20,000 with P30,000 sign on bonus spread across 3 months. Then I (asked for and) got a raise after the 3 months which bumped my salary to P37,500. "
2016,"Manufacturing","Saint Louis University","Female",20000,1.183,23660,"No",""
2014,"Utilities","Saint Louis University","Male",23000,1.234,28382,"No","I was hired by a friend and college-mate who happens to be the child of the company's owner. She also works at the same company."
2019,"Government","University of the Philippines - Diliman","Female",25000,1.08,27000,"No",""
2019,"Business Process Outsourcing","Other universities","Female",8700,1.08,9396,"No","Salary is based on provincial rate."
2018,"Finance","FEU System University","Female",16000,1.136,18176,"No",""
2019,"Academe & Education","University of San Carlos","Female",15000,1.08,16200,"No",""
2016,"Telecomumunications","Other universities","Male",14000,1.183,16562,"No","Project based"
2017,"Construction and Engineering","Other universities","Male",12000,1.168,14016,"Yes",""
2020,"Technology","Other universities","Male",35000,1.053,36855,"No",""
2019,"Media and Communication","University of the Philippines - Los Baños","Female",23000,1.08,24840,"No","13th month pay is distributed throughout the year"
2017,"Real Estate","University of Santos Tomas","Female",16000,1.168,18688,"No",""
2020,"Construction and Engineering","Mapua University - Intramuros","Male",16000,1.053,16848,"No",""
2020,"Finance","De La Salle University - Manila","Female",21500,1.053,22639.5,"Yes","I tried negotiating but they said they had already approved the budget for the position, so they didn't budge. I should have tried negotiating the benefits instead to make ends meet, however I agreed to the offer already. "
2018,"Real Estate","Ateneo de Manila University","Female",13500,1.136,15336,"No","I also received sales commissions of varying percentages on top of my basic pay"
2020,"Other industries","University of Santos Tomas","Female",21000,1.053,22113,"Yes","Excluding meal, transpo and accommodation allowance during field work. Always at field for 4-5 days a week. Direct supervisors agreed for 25k but during call with accounting asked to lower it due to lack of experience. "
2019,"Finance","Ateneo de Manila University","Male",32000,1.08,34560,"No",""
2014,"Finance","Ateneo de Manila University","Female",35000,1.234,43190,"No","Had 16 months fixed pay plus annual profit sharing based on performance"
2017,"Retail","Other universities","Female",15000,1.168,17520,"No",""
2012,"Government","University of the Philippines - Diliman","Female",19000,1.3014,24726.6,"No","I didn't know how much my salary was supposed to be and I didn't know I could negotiate -- I am a first generation college graduate in my family and neither of my parents had formal work."
2020,"Transportation","Other universities","Male",12000,1.053,12636,"No",""
2018,"Healthcare","Ateneo de Manila University","Female",22000,1.136,24992,"Yes","Pay was small (considerably since independent), but year end bonus will multiply your salary (ie we hit 113% in my first year, salary was x13 of base). Full HMO benefits, travel incentives, other benefits and I got to travel a lot in and out of the country"
2017,"Healthcare","N/A (Unspecified)","Not specified/Unclear",14000,1.168,16352,"Unspecified",""
2017,"Technology","Other universities","Female",25000,1.168,29200,"No",""
2016,"Non-Profit Organization","University of the Philippines - Los Baños","Female",30000,1.183,35490,"Yes","I've done a couple of volunteer and non-profit work to build my portfolio (mostly allowance based). When I applied to this role, I got a real good offer already."
2018,"Retail","Polytechnic University of the Philippines - Manila","Male",23000,1.136,26128,"Yes","Amount indicated is with allowances"
2017,"Academe & Education","Other universities","Female",24000,1.168,28032,"No","One of the top universities; I was hired because part of my practice teaching was international; Heavy workload though, physically and mentally exhausting"
2019,"Media and Communication","N/A (Unspecified)","Female",20000,1.08,21600,"No","20k salary but bawas SSS and Philhealth. Also, benefits like health and leaves will only be given after 1 yr kahit pero 6mos regular ka na."
2013,"Academe & Education","Other universities","Female",9000,1.265,11385,"No",""
2017,"Finance","University of the Philippines - Diliman","Female",25000,1.168,29200,"Yes","Said my asking salary is 25k. Foreign employer was shookt but accepted it. I got higher salary than most of my colleagues who have been there for 1-2years."
2019,"Construction and Engineering","N/A (Unspecified)","Not specified/Unclear",13000,1.08,14040,"Yes",""
2017,"Other industries","Other universities","Not specified/Unclear",15000,1.168,17520,"No","None"
2020,"Academe & Education","Ateneo de Manila University","Male",32000,1.053,33696,"Yes","32k is the minimum, can go up to 50k depending on hours worked"
2020,"Human Relations","Ateneo de Manila University","Female",49000,1.053,51597,"Yes","Language premium 24,500
 Basic pay 24,500 

With non taxable allowance and full benefits and leaves

Was offered 60,000 a month job and brought it up to recruiter so they offered a better salary. "
2020,"Academe & Education","University of the Philippines - Diliman","Female",19000,1.053,20007,"No","It's a part time job, with an hourly rate (Php 50/hr)"
2017,"Technology","Other universities","Male",25000,1.168,29200,"Yes",""
2020,"Manufacturing","Ateneo de Manila University","Female",60000,1.053,63180,"No","not counting benefits"
2020,"Other industries","Polytechnic University of the Philippines - Manila","Male",25000,1.053,26325,"Yes","Newly licensed M.E. 25000 gross salary. No increase in 2 years staying in company. "
2020,"Consulting","Polytechnic University of the Philippines - Manila","Male",18500,1.053,19480.5,"No",""
2020,"Real Estate","Other universities","Male",20000,1.053,21060,"Yes","5 working days plus half day in saturday per week."
2019,"Construction and Engineering","Polytechnic University of the Philippines - Manila","Male",19000,1.08,20520,"No",""
2019,"Construction and Engineering","Polytechnic University of the Philippines - Manila","Male",16000,1.08,17280,"No","Up to 17th month pay, (5 years bond) "
2020,"Other industries","N/A (Unspecified)","Female",16000,1.053,16848,"No","Up to 5kphp bonus per month depending on commission "
2016,"Manufacturing","Other universities","Female",18000,1.183,21294,"No",""
2011,"Construction and Engineering","Other universities","Male",11000,1.365,15015,"No",""
2019,"Consulting","Other universities","Male",20000,1.08,21600,"Unspecified",""
2019,"Consulting","Other universities","Male",20000,1.08,21600,"Unspecified",""
2017,"Other industries","Other universities","Male",21000,1.168,24528,"Yes",""
2015,"Technology","Polytechnic University of the Philippines - Manila","Female",20000,1.191,23820,"No","+2k allowance"
2020,"Technology","Ateneo de Manila University","Male",32000,1.053,33696,"No",""
2019,"Manufacturing","University of Santos Tomas","Not specified/Unclear",24700,1.08,26676,"No","This includes basic pay + other cash benefits"
2016,"Business Process Outsourcing","University of the Philippines - Diliman","Female",35000,1.183,41405,"Yes",""
2019,"Advertising","University of Santos Tomas","Female",25000,1.08,27000,"No","Reimbursements allowed for meals and transportation related to job functions, especially for OT periods. "
2020,"Advertising","De La Salle University - Manila","Female",21200,1.053,22323.6,"Yes","tried negotiating but given the pandemic's impact (and since i have little to no background on advertising/marketing), they couldnt match my desired salary. still accepted it tho because the company had other appealing factors like the people/culture, career development, other perks & benefits, etc."
2019,"Retail","Polytechnic University of the Philippines - Manila","Female",15000,1.08,16200,"No",""
2019,"Accounting","University of Santos Tomas","Male",20700,1.08,22356,"No",""
2019,"Media and Communication","Other universities","Female",20700,1.08,22356,"No",""
2018,"Healthcare","University of Santos Tomas","Female",21000,1.136,23856,"No",""
2016,"Media and Communication","De La Salle University - Manila","Female",18000,1.183,21294,"Yes","I asked for 18k starting during the interview and they granted it. Thinking back now, I could've asked for much higher and they likely would've granted it considering I did pretty well during my interview"
2018,"Non-Government Organization","University of the Philippines - Diliman","Female",17500,1.136,19880,"No",""
2017,"Finance","University of Santos Tomas","Female",16000,1.168,18688,"Yes",""
2020,"Other industries","De La Salle University - Manila","Male",12000,1.053,12636,"No",""
2015,"Food","Other universities","Female",4500,1.191,5359.5,"No",""
2018,"Human Relations","Polytechnic University of the Philippines - Manila","Female",13000,1.136,14768,"No","I think the salary offered is really for a fresh graduate in an entry-level position. "
